Date,Actual_Close,Predicted_Close,Predicted_Close_Minimum,Predicted_Close_Maximum,Percent_Change_from_Close,Actual_Up_Down,Predicted_Up_Down,Company
2022-07-04,420.299988,,,,,Down,nan,WIPRO.NS
2022-07-05,413.600006,407.4452154,390.4271556,425.3800957,1.48810216,Down,Down,WIPRO.NS
2022-07-06,416.049988,406.439625,389.2456409,423.0432228,2.309905859,Up,Down,WIPRO.NS
2022-07-07,420.799988,408.8515061,391.9191858,426.6253087,2.839468208,Up,Up,WIPRO.NS
2022-07-08,419.100006,411.1275234,392.5829814,428.4490989,1.902286437,Down,Up,WIPRO.NS
2022-07-11,411.200012,400.3814609,384.0723825,417.702645,2.630970515,Down,Down,WIPRO.NS
2022-07-12,409.149994,401.6250664,384.3325514,418.1419165,1.839161122,Down,Up,WIPRO.NS
2022-07-13,406.700012,398.7551188,381.1522646,416.3930921,1.953502086,Down,Down,WIPRO.NS
2022-07-14,401.450012,406.9782756,388.7863333,425.4770623,-1.377073976,Down,Up,WIPRO.NS
2022-07-15,393.850006,408.3032374,391.6057961,424.3723325,-3.669729901,Down,Up,WIPRO.NS
2022-07-18,404.75,409.428399,392.8356326,427.4136946,-1.155873739,Up,Up,WIPRO.NS
2022-07-19,405.649994,408.7100904,390.8032258,425.6157883,-0.754368664,Up,Down,WIPRO.NS
2022-07-20,412.100006,411.5930611,394.4615521,428.2334024,0.123015027,Up,Up,WIPRO.NS
2022-07-21,414.0,419.4636485,401.8754634,438.2213303,-1.319721867,Up,Up,WIPRO.NS
2022-07-22,410.850006,423.8395756,407.0284661,440.4314802,-3.161633064,Down,Up,WIPRO.NS
2022-07-25,414.799988,421.7826382,404.1308596,438.9509165,-1.683377621,Up,Down,WIPRO.NS
2022-07-26,405.200012,413.5269053,395.3298075,432.8381333,-2.055008163,Down,Down,WIPRO.NS
2022-07-27,406.649994,414.1590293,395.2598941,431.2819607,-1.846559806,Up,Up,WIPRO.NS
2022-07-28,416.0,427.4892308,409.9501239,444.8390549,-2.761834329,Up,Up,WIPRO.NS
2022-07-29,423.700012,421.709038,403.3023706,438.8656917,0.469901815,Up,Down,WIPRO.NS
2022-08-01,429.0,424.2319814,406.0510391,441.4792693,1.111426256,Up,Up,WIPRO.NS
2022-08-02,429.600006,419.6420741,404.0319428,437.9826706,2.317954325,Up,Down,WIPRO.NS
2022-08-03,432.350006,424.7182552,407.155293,442.4787278,1.765178844,Up,Up,WIPRO.NS
2022-08-04,435.5,429.0489921,412.2219506,447.5530469,1.481287697,Up,Up,WIPRO.NS
2022-08-05,440.0,426.8104797,410.3157809,444.7775748,2.997618246,Up,Down,WIPRO.NS
2022-08-08,435.850006,427.6917333,411.0087706,444.0278715,1.871807419,Down,Up,WIPRO.NS
2022-08-10,430.149994,424.2420346,406.9923513,440.4664429,1.373464952,Down,Down,WIPRO.NS
2022-08-11,438.450012,428.1918221,410.8351499,445.3975815,2.339648682,Up,Up,WIPRO.NS
2022-08-12,436.100006,423.714693,406.8274441,440.5826948,2.840016697,Down,Down,WIPRO.NS
2022-08-16,437.100006,420.0761743,403.154346,437.3504408,3.894722372,Up,Down,WIPRO.NS
2022-08-17,442.700012,421.9253242,405.4504463,438.8733666,4.692723564,Up,Up,WIPRO.NS
2022-08-18,435.049988,427.6987464,411.3356079,444.9866234,-0.0168974642058833,Down,Up,WIPRO.NS
2022-08-19,432.450012,426.8944275,409.8750578,445.0919879,1.284676682,Down,Down,WIPRO.NS
2022-08-22,420.0,429.834967,413.8593144,447.6539497,-2.341658802,Down,Up,WIPRO.NS
2022-08-23,416.649994,429.9946337,412.4209619,449.737471,-3.202841688,Down,Up,WIPRO.NS
2022-08-24,416.149994,427.7020379,409.8526673,446.3409639,-2.775932742,Down,Down,WIPRO.NS
2022-08-25,417.5,429.5495038,411.3401971,446.9648855,-2.886108694,Up,Up,WIPRO.NS
2022-08-26,417.25,423.6216984,406.2463403,441.5664227,-1.52706972,Down,Down,WIPRO.NS
2022-08-29,404.350006,434.6497334,416.6725709,450.9777163,-7.493440559,Down,Up,WIPRO.NS
2022-08-30,413.549988,434.9392304,417.2662662,452.6911182,-5.172105682,Up,Up,WIPRO.NS
2022-09-01,410.450012,438.2261412,420.8851174,456.1977942,-6.7672380041250815,Down,Up,WIPRO.NS
2022-09-02,408.600006,440.59272733247775,422.27256885176297,458.26983935318,-7.829838683966574,Down,Up,WIPRO.NS
2022-09-03,,429.2823319683837,411.30564210406897,448.51544523258457,,nan,Down,WIPRO.NS
2022-09-05,405.850006,453.28309744475314,434.48764018547473,470.935054274604,-11.687345261429694,Down,Up,WIPRO.NS
2022-09-06,404.450012,459.0723844285541,440.320105696231,477.56877594527066,0.1350534573072384,Down,Up,WIPRO.NS
2022-09-07,405.5,464.6529962041833,447.54600048430825,482.3398971312855,-14.587668607690086,Up,Up,WIPRO.NS
2022-09-08,412.799988,456.52659546302834,437.97611563651657,476.8052433375784,0.1059268622435821,Up,Down,WIPRO.NS
2022-09-09,417.149994,450.9152831136651,432.0459314132124,468.6244727631961,-8.094280138876167,Up,Down,WIPRO.NS
2022-09-12,422.0,453.18254773603394,434.54687069949233,472.5133503110736,-7.3892293213350575,Up,Up,WIPRO.NS
2022-09-13,424.100006,460.2667041811064,439.94289336016,480.4870148628195,-8.527870235660021,Up,Up,WIPRO.NS
2022-09-14,416.299988,460.53437331799057,441.1072639085165,480.13605354912806,0.10625603313250777,Down,Up,WIPRO.NS
2022-09-15,415.049988,459.6773110022693,440.7314602212173,480.19307938152497,-10.752276663665219,Down,Down,WIPRO.NS
2022-09-16,401.649994,464.9605746263956,442.72525832242894,484.9501832932889,-15.762624566700634,Down,Up,WIPRO.NS
2022-09-19,401.950012,452.62864824714813,430.98587032112215,472.41913293447845,-12.608193739063283,Up,Down,WIPRO.NS
2022-09-20,404.899994,459.99703834673517,439.26761354271883,480.75463653955245,-13.607568575744452,Up,Up,WIPRO.NS
2022-09-21,400.75,462.12331914966904,440.2454626903678,483.5724134975625,-15.314614884508806,Down,Up,WIPRO.NS
2022-09-22,397.950012,459.6572438828786,437.0707847179723,479.5019625408286,-15.506277176058635,Down,Down,WIPRO.NS
2022-09-23,394.350006,459.5877232236158,436.7186523698836,481.33470581258644,-16.543100350204075,Down,Down,WIPRO.NS
2022-09-26,394.799988,441.2814734314543,417.391965472114,464.78136161295413,-11.773426252346873,Up,Down,WIPRO.NS
2022-09-27,398.399994,453.63493593326876,430.7201430540983,476.39072958746686,-13.864192461124578,Up,Up,WIPRO.NS
