Date,Actual_Close,Predicted_Close,Predicted_Close_Minimum,Predicted_Close_Maximum,Percent_Change_from_Close,Actual_Up_Down,Predicted_Up_Down,Company
2022-07-04,2413.699951,2432.988861,2345.03142,2519.398604,-0.799142833,Down,Down,RELIANCE.NS
2022-07-05,2433.25,2594.686771,2498.957655,2698.332212,-6.634615055,Up,Up,RELIANCE.NS
2022-07-06,2411.850098,2609.403978,2501.717588,2715.473815,-8.190968426,Down,Up,RELIANCE.NS
2022-07-07,2388.350098,2570.87379,2473.168111,2682.998732,-7.642250285,Down,Up,RELIANCE.NS
2022-07-08,2391.4,2600.389139,2495.221502,2705.859169,-8.739196248,Up,Up,RELIANCE.NS
2022-07-11,2423.899902,2598.0,2492.0,2707.0,-7.182643881,Up,Up,RELIANCE.NS
2022-07-12,2420.449951,2611.51696,2495.961768,2727.507005,-7.893863243,Down,Up,RELIANCE.NS
2022-07-13,2377.550049,2678.901156,2571.319908,2810.915651,-12.67485861,Down,Up,RELIANCE.NS
2022-07-14,2397.149902,2681.173161,2559.038969,2803.150926,-11.8483729,Down,Up,RELIANCE.NS
2022-07-15,2401.800049,2656.773681,2537.742679,2779.950327,-10.61593916,Down,Down,RELIANCE.NS
2022-07-18,2416.449951,2654.423499,2535.772271,2792.601187,-9.848064426,Down,Down,RELIANCE.NS
2022-07-19,2437.100098,2669.410832,2531.654264,2797.727555,-9.532260648,Down,Up,RELIANCE.NS
2022-07-20,2503.0,2466.745371,2381.845075,2542.7182,1.448447024,Up,Down,RELIANCE.NS
2022-07-21,2486.300049,2425.50576,2346.447416,2505.419818,2.445171049,Down,Down,RELIANCE.NS
2022-07-22,2503.0,2422.785144,2341.805681,2502.938509,3.357259165,Down,Down,RELIANCE.NS
2022-07-25,2420.399902,2431.044834,2350.811393,2510.231231,-0.439800558,Down,Up,RELIANCE.NS
2022-07-26,2421.5,2413.316863,2336.164292,2492.16542,0.337936674,Up,Down,RELIANCE.NS
2022-07-27,2419.199951,2406.196042,2332.584792,2481.231124,0.537529321,Down,Down,RELIANCE.NS
2022-07-28,2457.100098,2402.517665,2327.393057,2489.046104,2.221416751,Down,Down,RELIANCE.NS
2022-07-29,2509.449951,2427.73197,2343.558165,2504.576039,3.256410076,Down,Down,RELIANCE.NS
2022-08-01,2574.850098,2556.108392,2473.601046,2643.348257,0.727875621,Down,Down,RELIANCE.NS
2022-08-02,2584.649902,2593.001544,2505.441849,2680.757453,-0.32312471,Down,Down,RELIANCE.NS
2022-08-03,2606.350098,2585.320928,2505.244196,2669.897806,0.806843638,Down,Down,RELIANCE.NS
2022-08-04,2354.100098,2464.732623,2380.501347,2541.464091,-4.699567576,Down,Up,RELIANCE.NS
2022-08-05,2392.25,2441.160422,2362.468133,2516.02606,-2.044536386,Down,Up,RELIANCE.NS
2022-08-08,2399.149902,2420.860307,2341.624416,2502.221633,-0.904920753,Down,Up,RELIANCE.NS
2022-08-10,2418.850098,2454.950655,2375.221259,2530.576585,-1.492467727,Up,Up,RELIANCE.NS
2022-08-11,2363.449951,2443.958408,2364.007963,2525.946137,-3.406395672,Down,Up,RELIANCE.NS
2022-08-12,2633.0,2642.406058,2569.560093,2719.358162,-0.357237295,Down,Down,RELIANCE.NS
2022-08-16,2651.300049,2703.196771,2618.901728,2780.01842,-1.957406594,Down,Down,RELIANCE.NS
2022-08-17,2665.149902,2688.765715,2602.545472,2769.231539,-0.886096974,Down,Down,RELIANCE.NS
2022-08-18,,2649.67217,2571.017061,2733.707133,,Down,Down,RELIANCE.NS
2022-08-19,2613.850098,2679.871152,2600.418993,2764.879749,-2.525816402,Down,Down,RELIANCE.NS
2022-08-22,2606.600098,2698.192594,2612.87771,2779.529213,-3.513868365,Down,Up,RELIANCE.NS
2022-08-23,2646.800049,2727.527052,2660.137597,2793.75306,-3.049984944,Down,Up,RELIANCE.NS
2022-08-24,2639.75,2724.804271,2657.12424,2796.033401,-3.222057819,Down,Down,RELIANCE.NS
2022-08-25,2646.25,2715.322155,2645.678274,2782.273298,-2.61019009,Down,Down,RELIANCE.NS
2022-08-26,2618.0,2719.001155,2651.63996,2787.510064,-3.857950921,Down,Up,RELIANCE.NS
2022-08-29,2597.649902,2787.004052,2715.264194,2858.870617,-7.289440748,Down,Up,RELIANCE.NS
2022-08-30,2637.949951,2814.222305,2739.926542,2882.15159,-6.682172031,Up,Up,RELIANCE.NS
2022-09-01,2560.399902,2810.318502,2734.394852,2880.199413,-9.7609205423255,Down,Down,RELIANCE.NS
2022-09-02,2548.449951,2799.9579418416824,2731.5053744556394,2871.520017880675,-9.86905749288864,Down,Down,RELIANCE.NS
2022-09-03,,2858.250747454866,2787.7240818615082,2932.5015094510973,,Down,Up,RELIANCE.NS
